,Kontengruppe,Profitcenter,Profitcenter-Bezeichnung,Art,HH Art,PSP-Element,Kostenart,Kostenart Beschreibung,Betrag,Betrag_Typ,Jahr
178,Aufwendungen für Sach- und Dienstleistungen,402,Eigenbetrieb Bildung,2.0,,,,,0,Ist,2016
179,Transferaufwendungen,402,Eigenbetrieb Bildung,2.0,,,,,"7.097.212,98",Ist,2016
180,sonstige ordentliche Aufwendungen,402,Eigenbetrieb Bildung,2.0,,,,,0,Ist,2016
181,Bilanzielle Aufwendungen,402,Eigenbetrieb Bildung,2.0,,,,,0,Ist,2016
182,Zuwendungen und allgemeine Umlagen,403,Kulturbüro,1.0,,,,,0,Ist,2016
183,Privatrechtliche Leistungsentgelte,403,Kulturbüro,1.0,,,,,"-5.483,00",Ist,2016
184,Personalaufwendungen,403,Kulturbüro,2.0,,,,,"101.162,21",Ist,2016
185,Aufwendungen für Sach- und Dienstleistungen,403,Kulturbüro,2.0,,,,,"8.507,42",Ist,2016
186,Transferaufwendungen,403,Kulturbüro,2.0,,,,,"56.160,25",Ist,2016
187,sonstige ordentliche Aufwendungen,403,Kulturbüro,2.0,,,,,"36.678,06",Ist,2016
188,Bilanzielle Aufwendungen,403,Kulturbüro,2.0,,,,,"314,37",Ist,2016
189,Aufwendungen aus internen Leistungsbeziehungen,403,Kulturbüro,5.0,,,,,0,Ist,2016
190,,,,,,1.100.05.02,41410000.0,Zuw.u.Zusch.für lfd.Zwecke vom Land,"-16.300,00",Ist,2016
191,,,,,,,41611000.0,ET SoPO-Aufl. aus Zuw. Land,0,Ist,2016
192,,,,,,1.100.05.02,41611000.0,ET SoPO-Aufl. aus Zuw. Land,"-245.006,47",Ist,2016
193,Zuwendungen und allgemeine Umlagen,502,Leistungen für Asylbewerber,1.0,,,,,"-261.306,47",Ist,2016
194,,,,,,1.100.05.02,42110001.0,Kostenbeiträge a.v.E,"-584,89",Ist,2016
195,,,,,,1.100.05.02,42110008.0,Erstattung Sozialleistungsträger,0,Ist,2016
196,,,,,,1.100.05.02,42110009.0,Rückzahlung gewährter Hilfen,"-190.433,78",Ist,2016
197,sonstige Transfererträge,502,Leistungen für Asylbewerber,1.0,,,,,"-191.018,67",Ist,2016
198,,,,,,1.100.05.02,44810003.0,Erstattung FlüAG Land,"-11.630.628,78",Ist,2016
199,,,,,,1.100.05.02,44810004.0,Erstattung Notunterkünfte Land,"-2.345.441,90",Ist,2016
200,,,,,,1.100.05.02,44910000.0,Leist-beteil. Grunds,0,Ist,2016
201,Privatrechtliche Leistungsentgelte,502,Leistungen für Asylbewerber,1.0,,,,,"-13.976.070,68",Ist,2016
202,,,,,,1.100.05.02,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Ist,2016
203,,,,,,1.100.05.02,45829001.0,Erträge aus der Auflösung RS Prozesskost,0,Ist,2016
204,sonstige ordentliche Erträge,502,Leistungen für Asylbewerber,1.0,,,,,0,Ist,2016
205,,,,,,1.100.05.02,50110000.0,Bezüge Beamte,"213.923,28",Ist,2016
206,,,,,,1.100.05.02,50120000.0,Vergütungen tariflich Beschäftigte,"91.699,12",Ist,2016
207,,,,,,1.100.05.02,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"7.154,08",Ist,2016
208,,,,,,1.100.05.02,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"18.564,57",Ist,2016
209,,,,,,1.100.05.02,50410000.0,Beihilfen und Unterstützungsleistungen f,"12.729,55",Ist,2016
210,,,,,,1.100.05.02,50411000.0,Beihilf. u.a.taBesch,"29,23",Ist,2016
211,,,,,,1.100.05.02,50510000.0,Rückstellungen für Pensionsverpflichtung,"99.994,70",Ist,2016
212,,,,,,1.100.05.02,50610000.0,Rückstellungen für Beihilfen,"23.755,69",Ist,2016
213,,,,,,1.100.05.02,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,0,Ist,2016
214,,,,,,1.100.05.02,50811000.0,RS Urlaub Beamte,"2.614,05",Ist,2016
215,,,,,,1.100.05.02,50812000.0,RS Urlaub tarifl. Beschäftigte,"766,43",Ist,2016
216,,,,,,1.100.05.02,50813000.0,RS Überstunden Beamte,"3.115,65",Ist,2016
217,,,,,,1.100.05.02,50814000.0,RS Überstunden tarifl.Beschäftigte,"201,99",Ist,2016
218,,,,,,1.100.05.02,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Ist,2016
219,Personalaufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"474.548,34",Ist,2016
220,,,,,,1.100.05.02,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"1.168,51",Ist,2016
221,,,,,,1.100.05.02,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger",0,Ist,2016
222,,,,,,1.100.05.02,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"120.598,99",Ist,2016
223,,,,,,1.100.05.02,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"28.996,45",Ist,2016
224,,,,,,1.100.05.02,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Ist,2016
225,Versorgungsaufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"150.763,95",Ist,2016
226,,,,,,1.100.05.02,52550000.0,Unterhaltung des so. bewegl. Vermögens,0,Ist,2016
227,,,,,,1.100.05.02,52550013.0,Erwerb Vermögensgegenstände < 410 Euro,0,Ist,2016
228,Aufwendungen für Sach- und Dienstleistungen,502,Leistungen für Asylbewerber,2.0,,,,,0,Ist,2016
229,,,,,,1.100.05.02,53180058.0,Koordinierunsstelle Asyl,"48.241,80",Ist,2016
230,,,,,,1.100.05.02,53310001.0,Hilfe zum Lebensunterhalt,0,Ist,2016
231,,,,,,1.100.05.02,53310003.0,Krankenhilfe,0,Ist,2016
232,,,,,,1.100.05.02,53310004.0,Grundleistungen §3 AsylBLG,0,Ist,2016
233,,,,,,1.100.05.02,53310005.0,Leistungen §4 AsylBLG,0,Ist,2016
234,,,,,,1.100.05.02,53310006.0,Sonstige Leistungen §6 AsylBLG,0,Ist,2016
235,,,,,,1.100.05.02,53390002.0,Hilfeleistung Flüchtlinge,"9.240,00",Ist,2016
236,,,,,,1.100.05.02,53390003.0,Hilfe zum Lebensunterhalt,"1.747.807,57",Ist,2016
237,,,,,,1.100.05.02,53390004.0,Krankenhilfe,"436.507,88",Ist,2016
238,,,,,,1.100.05.02,53390005.0,Grundleistungen § 3 AsylBLG,"8.020.607,47",Ist,2016
239,,,,,,1.100.05.02,53390006.0,Leistungen § 4 AsylBLG,"2.186.264,75",Ist,2016
240,,,,,,1.100.05.02,53390007.0,Sonstige Leistungen § 6 AsylBLG,"163.890,22",Ist,2016
241,Transferaufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"12.612.559,69",Ist,2016
242,,,,,,1.100.05.02,54111000.0,Fahrtkostenerstattung Beamte,"230,75",Ist,2016
243,,,,,,1.100.05.02,54130000.0,Aus- und Fortbildung,"3.048,15",Ist,2016
244,,,,,,1.100.05.02,54220012.0,Wohnungsmiete,"811.369,83",Ist,2016
245,,,,,,1.100.05.02,54291000.0,Prozesskosten,"998,01",Ist,2016
246,,,,,,1.100.05.02,54294000.0,Verwaltungskostenbeitrag RVK,"891,42",Ist,2016
247,,,,,,1.100.05.02,54310000.0,Büromaterial,0,Ist,2016
248,,,,,,1.100.05.02,54311000.0,Telekommunikation,"1.588,20",Ist,2016
249,,,,,,1.100.05.02,54311200.0,Zeitungen/Fachliteratur,"252,2",Ist,2016
250,,,,,,1.100.05.02,54311500.0,Porto,"5.846,31",Ist,2016
251,,,,,,,54710000.0,Wertveränderungen bei Sachanlagen,0,Ist,2016
252,,,,,,1.100.05.02,54710000.0,Wertveränderungen bei Sachanlagen,0,Ist,2016
253,,,,,,,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Ist,2016
254,,,,,,1.100.05.02,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Ist,2016
255,sonstige ordentliche Aufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"824.224,87",Ist,2016
256,,,,,,,57113000.0,AfA auf Gebäude,0,Ist,2016
257,,,,,,1.100.05.02,57113000.0,AfA auf Gebäude,"299.587,76",Ist,2016
258,,,,,,,57117000.0,AfA auf Betriebs- und Geschäftsausst.,0,Ist,2016
259,,,,,,1.100.05.02,57117000.0,AfA auf Betriebs- und Geschäftsausst.,"2.620,29",Ist,2016
260,,,,,,1.100.05.02,57117001.0,Afa auf Betriebs- und Geschäftsaust. EÖB,0,Ist,2016
261,Bilanzielle Aufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"302.208,05",Ist,2016
262,,,,,,,41611000.0,ET SoPO-Aufl. aus Zuw. Land,0,Ist,2016
263,,,,,,1.100.05.03,41611000.0,ET SoPO-Aufl. aus Zuw. Land,"-24.162,64",Ist,2016
264,,,,,,,41611001.0,Ertr.SoPo-Aufl. Land,0,Ist,2016
265,,,,,,1.100.05.03,41611001.0,Ertr.SoPo-Aufl. Land,0,Ist,2016
266,Zuwendungen und allgemeine Umlagen,503,Soziale Einrichtungen,1.0,,,,,"-24.162,64",Ist,2016
267,,,,,,1.100.05.03,43210000.0,Benutzungsgebühren und ähnliche Entgelte,0,Ist,2016
268,,,,,,1.100.05.03,43210017.0,Gebühren Obdachlosenunterkünfte,"-164.396,92",Ist,2016
269,,,,,,1.100.05.03,43210065.0,Gebühren Asylbewerber,"-118.526,74",Ist,2016
270,,,,,,1.100.05.03,43210066.0,Gebühren Aussiedler,0,Ist,2016
271,öffentlich-rechtliche Leistungsentgelte,503,Soziale Einrichtungen,1.0,,,,,"-282.923,66",Ist,2016
272,,,,,,1.100.05.03,44619000.0,Vermischte Erträge,0,Ist,2016
273,,,,,,1.100.05.03,44810000.0,Erträge aus Kostenerstattungen etc. Land,0,Ist,2016
274,,,,,,1.100.05.03,44810003.0,Erstattung FlüAG Land,0,Ist,2016
275,,,,,,1.100.05.03,44880012.0,Erstattung von Zuschüssen,0,Ist,2016
276,Privatrechtliche Leistungsentgelte,503,Soziale Einrichtungen,1.0,,,,,0,Ist,2016
277,,,,,,,45470000.0,Verr. mit allg. Rücklage bei Sachanlagen,0,Ist,2016
278,,,,,,1.100.05.03,45470000.0,Verr. mit allg. Rücklage bei Sachanlagen,0,Ist,2016
279,,,,,,1.100.05.03,45640001.0,Schadensersatzleistungen,0,Ist,2016
280,,,,,,,45720000.0,Ertr. Wertveränderung Sachanlagen,0,Ist,2016
281,,,,,,1.100.05.03,45720000.0,Ertr. Wertveränderung Sachanlagen,0,Ist,2016
282,,,,,,1.100.05.03,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Ist,2016
283,,,,,,1.100.05.03,45828000.0,Auflösung Instandhaltungsrückstellungen,0,Ist,2016
284,,,,,,1.100.05.03,45831000.0,Aufhebung Niederschlagung,"-350,38",Ist,2016
285,sonstige ordentliche Erträge,503,Soziale Einrichtungen,1.0,,,,,"-350,38",Ist,2016
286,,,,,,1.100.05.03,50110000.0,Bezüge Beamte,"67.693,43",Ist,2016
287,,,,,,1.100.05.03,50120000.0,Vergütungen tariflich Beschäftigte,"333.167,43",Ist,2016
288,,,,,,1.100.05.03,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"26.572,78",Ist,2016
289,,,,,,1.100.05.03,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"66.580,02",Ist,2016
290,,,,,,1.100.05.03,50410000.0,Beihilfen und Unterstützungsleistungen f,"4.028,11",Ist,2016
291,,,,,,1.100.05.03,50411000.0,Beihilf. u.a.taBesch,"106,28",Ist,2016
292,,,,,,1.100.05.03,50510000.0,Rückstellungen für Pensionsverpflichtung,"31.642,11",Ist,2016
293,,,,,,1.100.05.03,50610000.0,Rückstellungen für Beihilfen,"7.517,20",Ist,2016
294,,,,,,1.100.05.03,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,0,Ist,2016
295,,,,,,1.100.05.03,50811000.0,RS Urlaub Beamte,"-6.604,11",Ist,2016
296,,,,,,1.100.05.03,50812000.0,RS Urlaub tarifl. Beschäftigte,"4.992,70",Ist,2016
297,,,,,,1.100.05.03,50813000.0,RS Überstunden Beamte,"-8.056,22",Ist,2016
298,,,,,,1.100.05.03,50814000.0,RS Überstunden tarifl.Beschäftigte,"-1.785,94",Ist,2016
299,,,,,,1.100.05.03,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Ist,2016
300,Personalaufwendungen,503,Soziale Einrichtungen,2.0,,,,,"525.853,79",Ist,2016
301,,,,,,1.100.05.03,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"369,76",Ist,2016
302,,,,,,1.100.05.03,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger",0,Ist,2016
303,,,,,,1.100.05.03,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"38.162,09",Ist,2016
304,,,,,,1.100.05.03,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"9.175,58",Ist,2016
305,,,,,,1.100.05.03,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Ist,2016
306,Versorgungsaufwendungen,503,Soziale Einrichtungen,2.0,,,,,"47.707,43",Ist,2016
307,,,,,,1.100.05.03,52119000.0,Instandhaltung ZGM,"5.400,01",Ist,2016
308,,,,,,1.100.05.03,52119100.0,Asylbewerberunterkünfte ZGM,"546.277,33",Ist,2016
309,,,,,,1.100.05.03,52351000.0,Managemententgelte ZGM,"971.223,00",Ist,2016
310,,,,,,1.100.05.03,52351001.0,Asylbewerberunterkünfte ZGM,"1.289.840,00",Ist,2016
311,,,,,,1.100.05.03,52410200.0,Bewirtschaftung ENNI,0,Ist,2016
312,,,,,,1.100.05.03,52550010.0,Einrichtung Übergangswohnheime,"344.052,96",Ist,2016
313,,,,,,1.100.05.03,52910009.0,Beseitigung Schrottfahrzeuge,0,Ist,2016
314,Aufwendungen für Sach- und Dienstleistungen,503,Soziale Einrichtungen,2.0,,,,,"3.156.793,30",Ist,2016
315,,,,,,1.100.05.03,53180012.0,Zuschuss Caritasverband,"173.744,51",Ist,2016
316,Transferaufwendungen,503,Soziale Einrichtungen,2.0,,,,,"173.744,51",Ist,2016
317,,,,,,1.100.05.03,54111000.0,Fahrtkostenerstattung Beamte,"86,13",Ist,2016
318,,,,,,1.100.05.03,54111100.0,Fahrtkostenerstattung tariflich Beschäft,505,Ist,2016
319,,,,,,1.100.05.03,54140002.0,Umzugskosten,0,Ist,2016
320,,,,,,1.100.05.03,54291000.0,Prozesskosten,0,Ist,2016
321,,,,,,1.100.05.03,54294000.0,Verwaltungskostenbeitrag RVK,"282,08",Ist,2016
322,,,,,,1.100.05.03,54310000.0,Büromaterial,0,Ist,2016
323,,,,,,1.100.05.03,54311000.0,Telekommunikation,"1.588,20",Ist,2016
324,,,,,,1.100.05.03,54311200.0,Zeitungen/Fachliteratur,0,Ist,2016
325,,,,,,1.100.05.03,54311500.0,Porto,"5.846,31",Ist,2016
326,,,,,,1.100.05.03,54490001.0,Wertberichtigung von Forderungen wg.Unei,"2.129,94",Ist,2016
327,,,,,,,54710000.0,Wertveränderungen bei Sachanlagen,0,Ist,2016
328,,,,,,1.100.05.03,54710000.0,Wertveränderungen bei Sachanlagen,"48,72",Ist,2016
329,,,,,,,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Ist,2016
330,,,,,,1.100.05.03,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,"-48,72",Ist,2016
331,sonstige ordentliche Aufwendungen,503,Soziale Einrichtungen,2.0,,,,,"10.437,66",Ist,2016
332,,,,,,,57113000.0,AfA auf Gebäude,0,Ist,2016
333,,,,,,1.100.05.03,57113000.0,AfA auf Gebäude,"43.581,46",Ist,2016
334,,,,,,1.100.05.03,57113001.0,Abschreibungen auf Gebäude EÖB,0,Ist,2016
335,,,,,,,57117000.0,AfA auf Betriebs- und Geschäftsausst.,0,Ist,2016
336,,,,,,1.100.05.03,57117000.0,AfA auf Betriebs- und Geschäftsausst.,"1.680,42",Ist,2016
337,,,,,,1.100.05.03,57117001.0,Afa auf Betriebs- und Geschäftsaust. EÖB,0,Ist,2016
338,Bilanzielle Aufwendungen,503,Soziale Einrichtungen,2.0,,,,,"45.261,88",Ist,2016
339,,,,,,1.100.05.04,44830002.0,Erstattung Ausgleichsabgabe,0,Ist,2016
340,Privatrechtliche Leistungsentgelte,504,Leistungen n. d. Bundesversorgungsgesetz,1.0,,,,,0,Ist,2016
341,,,,,,1.100.05.04,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Ist,2016
342,sonstige ordentliche Erträge,504,Leistungen n. d. Bundesversorgungsgesetz,1.0,,,,,0,Ist,2016
343,,,,,,1.100.05.04,50110000.0,Bezüge Beamte,"55.810,37",Ist,2016
344,,,,,,1.100.05.04,50120000.0,Vergütungen tariflich Beschäftigte,"101.653,76",Ist,2016
345,,,,,,1.100.05.04,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"8.076,96",Ist,2016
346,,,,,,1.100.05.04,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"20.370,85",Ist,2016
347,,,,,,1.100.05.04,50410000.0,Beihilfen und Unterstützungsleistungen f,"4.869,34",Ist,2016
348,,,,,,1.100.05.04,50411000.0,Beihilf. u.a.taBesch,"32,43",Ist,2016
349,,,,,,1.100.05.04,50510000.0,Rückstellungen für Pensionsverpflichtung,"38.250,21",Ist,2016
350,,,,,,1.100.05.04,50610000.0,Rückstellungen für Beihilfen,"9.087,08",Ist,2016
351,,,,,,1.100.05.04,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,"1.764,03",Ist,2016
352,,,,,,1.100.05.04,50811000.0,RS Urlaub Beamte,"-1.377,08",Ist,2016
353,,,,,,1.100.05.04,50812000.0,RS Urlaub tarifl. Beschäftigte,"396,6",Ist,2016
354,,,,,,1.100.05.04,50813000.0,RS Überstunden Beamte,"-304,41",Ist,2016
355,,,,,,1.100.05.04,50814000.0,RS Überstunden tarifl.Beschäftigte,"967,67",Ist,2016
356,,,,,,1.100.05.04,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Ist,2016
357,Personalaufwendungen,504,Leistungen n. d. Bundesversorgungsgesetz,2.0,,,,,"239.597,81",Ist,2016
358,,,,,,1.100.05.04,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"446,98",Ist,2016
359,,,,,,1.100.05.04,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger",0,Ist,2016
360,,,,,,1.100.05.04,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"46.131,82",Ist,2016
361,,,,,,1.100.05.04,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"11.091,79",Ist,2016
362,,,,,,1.100.05.04,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Ist,2016
363,Versorgungsaufwendungen,504,Leistungen n. d. Bundesversorgungsgesetz,2.0,,,,,"57.670,59",Ist,2016
364,,,,,,1.100.05.04,52550000.0,Unterhaltung des so. bewegl. Vermögens,0,Ist,2016
365,,,,,,1.100.05.04,52550013.0,Erwerb Vermögensgegenstände < 410 Euro,0,Ist,2016
366,Aufwendungen für Sach- und Dienstleistungen,504,Leistungen n. d. Bundesversorgungsgesetz,2.0,,,,,0,Ist,2016
367,,,,,,1.100.05.04,53180046.0,Zuschuss Leistungen Ausgleichabgabe,0,Ist,2016
368,Transferaufwendungen,504,Leistungen n. d. Bundesversorgungsgesetz,2.0,,,,,0,Ist,2016
369,,,,,,1.100.05.04,54111000.0,Fahrtkostenerstattung Beamte,0,Ist,2016
370,,,,,,1.100.05.04,54111100.0,Fahrtkostenerstattung tariflich Beschäft,"350,43",Ist,2016
371,,,,,,1.100.05.04,54291000.0,Prozesskosten,0,Ist,2016
372,,,,,,1.100.05.04,54291005.0,Gutachtertätigkeit SGB IX,"147,67",Ist,2016
373,,,,,,1.100.05.04,54294000.0,Verwaltungskostenbeitrag RVK,"340,99",Ist,2016
374,,,,,,1.100.05.04,54310000.0,Büromaterial,0,Ist,2016
375,,,,,,1.100.05.04,54311000.0,Telekommunikation,"1.588,20",Ist,2016
376,,,,,,1.100.05.04,54311200.0,Zeitungen/Fachliteratur,"1.007,18",Ist,2016
377,,,,,,1.100.05.04,54311500.0,Porto,"5.846,31",Ist,2016
378,,,,,,,54710000.0,Wertveränderungen bei Sachanlagen,0,Ist,2016
379,,,,,,1.100.05.04,54710000.0,Wertveränderungen bei Sachanlagen,"48,72",Ist,2016
380,,,,,,,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Ist,2016
381,,,,,,1.100.05.04,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,"-48,72",Ist,2016
382,,,,,,1.100.05.04,54990002.0,Weiterleitung an den Landschaftsverband,0,Ist,2016
383,sonstige ordentliche Aufwendungen,504,Leistungen n. d. Bundesversorgungsgesetz,2.0,,,,,"9.280,78",Ist,2016
384,,,,,,,57117000.0,AfA auf Betriebs- und Geschäftsausst.,0,Ist,2016
385,,,,,,1.100.05.04,57117000.0,AfA auf Betriebs- und Geschäftsausst.,"729,45",Ist,2016
386,,,,,,1.100.05.04,57117001.0,Afa auf Betriebs- und Geschäftsaust. EÖB,0,Ist,2016
387,Bilanzielle Aufwendungen,504,Leistungen n. d. Bundesversorgungsgesetz,2.0,,,,,"729,45",Ist,2016
388,,,,,,1.100.05.05,44611003.0,Behindertenfahrdienst,0,Ist,2016
389,,,,,,1.100.05.05,44880012.0,Erstattung von Zuschüssen,"-1.012,15",Ist,2016
390,Privatrechtliche Leistungsentgelte,505,Förderung v. Trägern d. Wohlfahrtspflege,1.0,,,,,"-1.012,15",Ist,2016
391,,,,,,1.100.05.05,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Ist,2016
392,sonstige ordentliche Erträge,505,Förderung v. Trägern d. Wohlfahrtspflege,1.0,,,,,0,Ist,2016
393,,,,,,1.100.05.05,50110000.0,Bezüge Beamte,"136.886,11",Ist,2016
394,,,,,,1.100.05.05,50120000.0,Vergütungen tariflich Beschäftigte,"67.541,28",Ist,2016
395,,,,,,1.100.05.05,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"5.406,95",Ist,2016
396,,,,,,1.100.05.05,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"12.765,28",Ist,2016
397,,,,,,1.100.05.05,50410000.0,Beihilfen und Unterstützungsleistungen f,"8.145,43",Ist,2016
398,,,,,,1.100.05.05,50411000.0,Beihilf. u.a.taBesch,"21,54",Ist,2016
399,,,,,,1.100.05.05,50510000.0,Rückstellungen für Pensionsverpflichtung,"63.985,02",Ist,2016
400,,,,,,1.100.05.05,50610000.0,Rückstellungen für Beihilfen,"15.200,89",Ist,2016
401,,,,,,1.100.05.05,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,0,Ist,2016
402,,,,,,1.100.05.05,50811000.0,RS Urlaub Beamte,"4.886,09",Ist,2016
403,,,,,,1.100.05.05,50812000.0,RS Urlaub tarifl. Beschäftigte,"215,53",Ist,2016
404,,,,,,1.100.05.05,50813000.0,RS Überstunden Beamte,"519,5",Ist,2016
405,,,,,,1.100.05.05,50814000.0,RS Überstunden tarifl.Beschäftigte,"456,67",Ist,2016
406,,,,,,1.100.05.05,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Ist,2016
407,Personalaufwendungen,505,Förderung v. Trägern d. Wohlfahrtspflege,2.0,,,,,"316.030,29",Ist,2016
408,,,,,,1.100.05.05,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"747,71",Ist,2016
409,,,,,,1.100.05.05,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger",0,Ist,2016
410,,,,,,1.100.05.05,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"77.169,38",Ist,2016
411,,,,,,1.100.05.05,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"18.554,37",Ist,2016
412,,,,,,1.100.05.05,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Ist,2016
413,Versorgungsaufwendungen,505,Förderung v. Trägern d. Wohlfahrtspflege,2.0,,,,,"96.471,46",Ist,2016
414,,,,,,1.100.05.05,52351000.0,Managemententgelte ZGM,"9.504,00",Ist,2016
415,,,,,,1.100.05.05,52550000.0,Unterhaltung des so. bewegl. Vermögens,0,Ist,2016
416,,,,,,1.100.05.05,52810014.0,Seniorenveranstaltungen,"4.997,07",Ist,2016
417,,,,,,1.100.05.05,52810015.0,Entwicklung Seniorenarbeit,"2.528,17",Ist,2016
418,,,,,,1.100.05.05,52810030.0,Sachleistungen SEP,0,Ist,2016
419,,,,,,1.100.05.05,52810031.0,Sachkosten Leitstelle Älterwerden,"249,62",Ist,2016
420,Aufwendungen für Sach- und Dienstleistungen,505,Förderung v. Trägern d. Wohlfahrtspflege,2.0,,,,,"17.278,86",Ist,2016
421,,,,,,1.100.05.05,53180005.0,Zuschuss Deutsche Rheumaliga,410,Ist,2016
422,,,,,,1.100.05.05,53180012.0,Zuschuss Caritasverband,0,Ist,2016
423,,,,,,1.100.05.05,53180013.0,"Zuschuss ""Frauen helfen Frauen""","11.000,00",Ist,2016
424,,,,,,1.100.05.05,53180014.0,Zuschuss Verband freier Wohlfahrtspflege,0,Ist,2016
425,,,,,,1.100.05.05,53180015.0,Zuschuss Telefonseelsorge,500,Ist,2016
426,,,,,,1.100.05.05,53180017.0,Zuschuss Behindertenvereine,"2.123,00",Ist,2016
427,,,,,,1.100.05.05,53180020.0,Zuschuss Guttempler Orden,608,Ist,2016
428,,,,,,1.100.05.05,53180022.0,Zuschuss Arbeitslosenzentrum,"1.521,00",Ist,2016
429,,,,,,1.100.05.05,53180023.0,Zuschuss Tuwas Genossenschaft,"10.000,00",Ist,2016
430,,,,,,1.100.05.05,53180024.0,Zuschuss Begegnungs- u. Beratungszentren,"344.100,00",Ist,2016
431,,,,,,1.100.05.05,53180025.0,Zuschuss Seniorenbüro Repelen,0,Ist,2016
432,,,,,,1.100.05.05,53180026.0,Zuschuss Kriegsblinde,25,Ist,2016
433,,,,,,1.100.05.05,53180035.0,Zuschuss freiwillige Zentrale,"25.644,00",Ist,2016
434,,,,,,1.100.05.05,53180036.0,Zuschuss MALZ,"4.489,00",Ist,2016
435,,,,,,1.100.05.05,53180038.0,Zuschuss Behindertenbegegnungszentrum,"34.700,00",Ist,2016
436,,,,,,1.100.05.05,53180039.0,Zuschuss Behindertenfahrdienst,406,Ist,2016
437,Transferaufwendungen,505,Förderung v. Trägern d. Wohlfahrtspflege,2.0,,,,,"435.526,00",Ist,2016
438,,,,,,1.100.05.05,54111000.0,Fahrtkostenerstattung Beamte,"809,34",Ist,2016
439,,,,,,1.100.05.05,54111100.0,Fahrtkostenerstattung tariflich Beschäft,"108,9",Ist,2016
440,,,,,,1.100.05.05,54130005.0,Dienstreisen SEP,"378,18",Ist,2016
441,,,,,,1.100.05.05,54130006.0,Dienstreise Leitstelle Älterwerden,"1.239,93",Ist,2016
442,,,,,,1.100.05.05,54291000.0,Prozesskosten,0,Ist,2016
443,,,,,,1.100.05.05,54294000.0,Verwaltungskostenbeitrag RVK,"570,41",Ist,2016
444,,,,,,1.100.05.05,54310000.0,Büromaterial,"7.054,57",Ist,2016
445,,,,,,1.100.05.05,54311000.0,Telekommunikation,"1.588,20",Ist,2016
446,,,,,,1.100.05.05,54311200.0,Zeitungen/Fachliteratur,0,Ist,2016
447,,,,,,1.100.05.05,54311500.0,Porto,"5.846,31",Ist,2016
448,,,,,,1.100.05.05,54313000.0,Mitgliedsbeiträge,500,Ist,2016
449,sonstige ordentliche Aufwendungen,505,Förderung v. Trägern d. Wohlfahrtspflege,2.0,,,,,"18.095,84",Ist,2016
